Title,Author,Price,Release Date,Short Desc,Pages
Hands-On Unity 2021 Game Development - Second Edition,Nicolas Alejandro Borromeo,$27.99 ,Aug-21,Achieve mesmerizing game experiences using the latest Unity 2021 features by following a practical a...,710 pages
Mobile Development with .NET - Second Edition,Can Bilgin,$27.99 ,Apr-21,A mobile applications development masterclass for .NET and C# developers,572 pages
Practical Mobile Forensics - Fourth Edition,Rohit Tamma,$27.99 ,Apr-20,"Become well-versed with forensics for the Android, iOS, and Windows 10 mobile platforms by learning ...",400 pages
Get Your Hands Dirty on Clean Architecture,Tom Hombergs,$17.99 ,Sep-19,Gain insight into how hexagonal architecture can help to keep the cost of development low over the c...,156 pages
Learn Helm,Andrew Block,$27.99 ,Jun-20,A comprehensive introduction to automated application deployment on Kubernetes for beginners,344 pages
Deep Reinforcement Learning Hands-On - Second Edition,Maxim Lapan,$27.99 ,Jan-20,New edition of the bestselling guide to deep reinforcement learning and how it’s used to solve compl...,826 pages
Practical Threat Intelligence and Data-Driven Threat Hunting,Valentina Palacín,$31.99 ,Feb-21,Get to grips with cyber threat intelligence and data-driven threat hunting while exploring expert ti...,398 pages
Programming Microsoft Dynamics 365 Business Central - Sixth Edition,Mark Brummel,$34.99 ,Apr-19,Explore the fundamentals of Dynamics 365 Business Central and the Visual Studio Code development env...,536 pages
Learn Power BI,Greg Deckler,$27.99 ,Sep-19,Solve business challenges with Microsoft Power BI's advanced visualization and data analysis techniq...,362 pages
Learn C# Programming,Marius Bancila,$27.99 ,Apr-20,"Get started with C# and strengthen your knowledge of core programming concepts such as procedural, o...",636 pages
DIY Microcontroller Projects for Hobbyists,Miguel Angel Garcia-Ruiz,$27.99 ,Jul-21,A practical guide to building PIC and STM32 microcontroller board applications with C and C++ progra...,320 pages
Networking Fundamentals,Gordon Davies,$27.99 ,Dec-19,"Become well-versed with basic networking concepts such as routing, switching, and subnetting, and pr...",510 pages
Docker for Developers,Richard Bullington-McGuire,$27.99 ,Sep-20,Leverage real-world use cases to deploy and test Linux-based Docker containers,468 pages
Hands-On RESTful API Design Patterns and Best Practices,Harihara Subramanian J,$27.99 ,Jan-19,Build effective RESTful APIs for enterprise with design patterns and REST framework’s out-of-the-box...,378 pages
Deep Learning with TensorFlow 2 and Keras - Second Edition,Antonio Gulli,$27.99 ,Dec-19,"Build machine and deep learning systems with the newly released TensorFlow 2 and Keras for the lab, ...",646 pages
Mastering Python for Networking and Security - Second Edition,José Manuel Ortega,$27.99 ,Jan-21,"Tackle security and networking issues using Python libraries such as Nmap, requests, asyncio, and sc...",538 pages
Multi-Cloud Architecture and Governance,Jeroen Mulder,$34.99 ,Dec-20,"A comprehensive guide to architecting, managing, implementing, and controlling multi-cloud environme...",412 pages
Digital Forensics and Incident Response - Second Edition,Gerard Johansen,$27.99 ,Jan-20,"A practical guide to deploying digital forensics techniques in response to cybersecurity incidents	",448 pages
Front-End Development Projects with Vue.js,Raymond Camden,$27.99 ,Nov-20,Get to grips with the core fundamentals of Vue.js 2 and learn to build reliable component-based appl...,774 pages
Azure Data Factory Cookbook,Dmitry Anoshin,$31.99 ,Dec-20,Solve real-world data problems and create data-driven workflows for easy data movement and processin...,382 pages
Flutter Projects,Simone Alessandria,$20.99 ,Apr-20,Learn Flutter and the Dart programming language by building impressive real-world mobile application...,490 pages
Implementing Microsoft Azure Architect Technologies: AZ-303 Exam Prep and Beyond - Second Edition,Brett Hargreaves,$27.99 ,Dec-20,"Become a certified Azure Architect and learn how to design effective solutions that span compute, se...",548 pages
Kubernetes - A Complete DevOps Cookbook,Murat Karslioglu,$27.99 ,Mar-20,Leverage Kubernetes and container architecture to successfully run production-ready workloads ,584 pages
Implementing Hybrid Cloud with Azure Arc,Amit Malik,$31.99 ,Jul-21,Accelerate hybrid cloud innovation using Azure Arc with the help of real-world scenarios and example...,242 pages
Angular for Enterprise-Ready Web Applications - Second Edition,Doguhan Uluca,$27.99 ,May-20,Revised and updated second edition of the bestselling hands-on guide to building enterprise-ready we...,824 pages
Apache Kafka Quick Start Guide ,Raúl Estrada,$23.99 ,Dec-18,Process large volumes of data in real-time while building high performance and robust data stream pr...,186 pages
Hands-On Unity 2020 Game Development,Nicolas Alejandro Borromeo,$27.99 ,Jul-20,Build immersive game experiences using the new Unity 2020 features with this practical guide,580 pages
3D Graphics Rendering Cookbook,Sergey Kosarevsky,$27.99 ,Aug-21,Build a 3D rendering engine from scratch while solving problems in a step-by-step way with the help ...,670 pages
IoT and Edge Computing for Architects - Second Edition,Perry Lea,$31.99 ,Mar-20,"Implementing edge and IoT systems from sensors to clouds with communication systems, analytics, and ...",632 pages
"The Economics of Data, Analytics, and Digital Transformation",Bill Schmarzo,$20.99 ,Nov-20,Build a continuously learning and adapting organization that can extract increasing levels of busine...,252 pages
Delphi Cookbook - Third Edition,Daniele Spinetti,$39.99 ,Jul-18,"Quickly learn and employ practical recipes for developing real-world, cross-platform applications us...",668 pages
Learn Microsoft PowerApps,Matthew Weston,$27.99 ,Nov-19,Unravel the world of PowerApps and learn how to build lightweight mobile applications with this comp...,560 pages
Visual Studio 2019 Tricks and Techniques,Paul Schroeder,$27.99 ,Jan-21,Harness the full power of the Visual Studio IDE to take your coding skills to the next level by lear...,386 pages
Mastering Azure Security,Mustafa Toroman,$24.99 ,May-20,Leverage Azure security services to architect robust cloud solutions in Microsoft Azure,262 pages
Python for Finance Cookbook,Eryk Lewinson,$27.99 ,Jan-20,"Solve common and not-so-common financial problems using Python libraries such as NumPy, SciPy, and p...",432 pages
The Kubernetes Workshop,Melony Qin,$27.99 ,Sep-20,Cut through the noise and get real results with a step-by-step approach to mastering Kubernetes,780 pages
The Statistics and Calculus with Python Workshop,Peter Farrell,$24.99 ,Aug-20,"With examples and activities that help you achieve real results, applying calculus and statistical m...",740 pages
The Successful Software Manager,Herman Fung,$24.99 ,Jun-19,"A developer's guide to successfully managing teams, customers, and software projects",442 pages
Practical Security Automation and Testing,Tony Hsiang-Chih Hsu,$27.99 ,Feb-19,Your one stop guide to automating infrastructure security using DevOps and DevSecOps,256 pages
Serverless Design Patterns and Best Practices,Brian Zambrano,$35.99 ,Apr-18,Get started with designing your serverless application using optimum design patterns and industry st...,260 pages
Practical Discrete Mathematics,Ryan T. White,$41.99 ,Feb-21,A practical guide simplifying discrete math for curious minds and demonstrating its application in s...,330 pages
The React Workshop,Brandon Richey,$27.99 ,Aug-20,Cut through the noise and get real results with a step-by-step approach to learning React programmin...,806 pages
AWS Certified Machine Learning Specialty: MLS-C01 Certification Guide,Somanath Nanda,$34.99 ,Mar-21,"Prepare to achieve AWS Machine Learning Specialty certification with this complete, up-to-date guide...",338 pages
Learn Microsoft Office 2019,Linda Foulkes,$24.99 ,May-20,"Get to grips with the complete range of Office 2019 applications, explore solutions to common challe...",794 pages
LaTeX Cookbook,Stefan Kottwitz,$35.99 ,Oct-15,Over 100 hands-on recipes to quickly prepare LaTeX documents of various kinds to solve challenging t...,378 pages
Docker on Windows - Second Edition,Elton Stoneman,$34.99 ,Feb-19,Learn how to run new and old applications in Docker containers on Windows - modernizing the architec...,428 pages
TensorFlow 2.0 Computer Vision Cookbook,Jesús Martínez,$27.99 ,Feb-21,Get well versed with state-of-the-art techniques to tailor training processes and boost the performa...,542 pages
Mastering Hadoop 3,Chanchal Singh,$38.99 ,Feb-19,A comprehensive guide to mastering the most advanced Hadoop 3 concepts,544 pages
Agile Model-Based Systems Engineering Cookbook,Bruce Powel Douglass,$48.99 ,Mar-21,Discover recipes for addressing the growing complexity of modern systems by applying agile methodolo...,646 pages
Hands-On Domain-Driven Design with .NET Core,Alexey Zimarev,$27.99 ,Apr-19,"Solve complex business problems by understanding users better, finding the right problem to solve, a...",446 pages
Increasing Autodesk Revit Productivity for BIM Projects,Fabio Roberti,$31.99 ,Jun-21,Discover how to implement Revit best practices along with Dynamo and Power BI to visualize and analy...,492 pages
Mastering Reinforcement Learning with Python,Enes Bilgin,$31.99 ,Dec-20,Get hands-on experience in creating state-of-the-art reinforcement learning agents using TensorFlow ...,544 pages
Mastering Rust - Second Edition,Rahul Sharma,$34.99 ,Jan-19,"Become proficient in designing, developing and deploying effective software systems using the advanc...",554 pages
"Windows Subsystem for Linux 2 (WSL 2) Tips, Tricks, and Techniques",Stuart Leeks,$24.99 ,Oct-20,A practical handbook that will help you bridge the gap between Windows and Linux to develop apps tha...,246 pages
iOS 14 Programming for Beginners - Fifth Edition,Ahmad Sahar,$27.99 ,Nov-20,Learn iOS app development and work with the latest Apple development tools,766 pages
Learn Quantum Computing with Python and IBM Q Experience,Robert Loredo,$31.99 ,Sep-20,A step-by-step guide to learning the implementation and associated methodologies in quantum computin...,510 pages
Azure Data Engineering Cookbook,Ahmad Osama,$31.99 ,Apr-21,Over 90 recipes to help you orchestrate modern ETL/ELT workflows and perform analytics using Azure s...,454 pages
Master Apache JMeter - From Load Testing to DevOps,Antonio Gomes Rodrigues,$27.99 ,Aug-19,"Learn how to get the most out of JMeter, improve the productivity of your apps, and integrate JMeter...",468 pages
The Azure Cloud Native Architecture Mapbook,Stéphane Eyskens,$31.99 ,Feb-21,Improve your Azure architecture practice and set out on a cloud and cloud-native journey with this A...,376 pages
Network Automation Cookbook,Karim Okasha,$27.99 ,Apr-20,Take your network automation skills to the next level with practical recipes on managing network dev...,482 pages
Blockchain Development for Finance Projects,Ishan Roy,$31.99 ,Jan-20,A practical blockchain handbook designed to take you through implementing and re-engineering banking...,530 pages
Cybersecurity - Attack and Defense Strategies,Yuri Diogenes,$31.99 ,Jan-18,Enhance your organization's secure posture by improving your attack and defense strategies,384 pages
The C++  Workshop,Dale Green,$27.99 ,Feb-20,Cut through the noise and get real results with a step-by-step approach to learning C++ development ,606 pages
End-to-End Web Testing with Cypress,Waweru Mwaura,$31.99 ,Jan-21,Get to grips with the Cypress framework and learn how to best implement end-to-end automation testin...,240 pages
Python GUI programming with Tkinter,Alan D. Moore,$35.99 ,May-18,Find out how to create visually stunning and feature-rich applications by empowering Python's built-...,452 pages
Expert C++,Vardan Grigoryan,$27.99 ,Apr-20,Design and architect real-world scalable C++ applications by exploring advanced techniques in low-le...,606 pages
Julia 1.0 High Performance,Avik Sengupta,$20.99 ,Jun-19,Optimize your code to get lighting fast speed with Julia 1.0,218 pages
Unity 2020 By Example - Third Edition,Robert Wells,$31.99 ,Sep-20,Learn Unity game development with C# through a series of practical projects ranging from building a ...,676 pages
Python Data Cleaning Cookbook,Michael Walker,$31.99 ,Dec-20,"Discover how to describe your data in detail, identify data issues, and find out how to solve them u...",436 pages
DAX Cookbook,Greg Deckler,$31.99 ,Mar-20,Solve real-world business problems by learning how to create common industry key performance indicat...,552 pages
Python API Development Fundamentals,Jack Chan,$24.99 ,Nov-19,Learn all that’s needed to build a fully functional web application from scratch,372 pages
AWS Security Cookbook,Heartin Kanikathottu,$31.99 ,Feb-20,"Secure your Amazon Web Services (AWS) infrastructure with permission policies, key management, and n...",440 pages
Learning JavaScript Data Structures and Algorithms - Third Edition,Loiane Groner,$35.99 ,Apr-18,"Create classic data structures and algorithms such as depth-first search and breadth-first search, l...",426 pages
Django Design Patterns and Best Practices - Second Edition,Arun Ravindran,$35.99 ,May-18,Build maintainable websites with elegant Django design patterns and modern best practices,282 pages
Android Programming for Beginners - Third Edition,John Horton,$31.99 ,Apr-21,Learn the Java and Android skills you need to start developing powerful mobile applications with the...,742 pages
The Go Workshop,Delio D'Anna,$27.99 ,Dec-19,Cut through the noise and get real results with a step-by-step approach to learning Go programming,824 pages
Modernizing Enterprise CMS Using Pimcore,Daniele Fontani,$31.99 ,Aug-21,"A practical guide to developing, administering, and scaling content management solutions in your org...",412 pages
Hands-On Data Science for Marketing,Yoon Hyup Hwang,$31.99 ,Mar-19,Optimize your marketing strategies through analytics and machine learning,464 pages
Learn Grafana 7.0,Eric Salituro,$31.99 ,Jun-20,A comprehensive introduction to help you get up and running with creating interactive dashboards to ...,410 pages
Mastering Linux Shell Scripting - Second Edition,Mokhtar Ebrahim,$27.99 ,Apr-18,Master the complexities of Bash shell scripting and unlock the power of shell for your enterprise,284 pages
Becoming an Agile Software Architect,Rajesh R V,$34.99 ,Mar-21,A guide to successfully operating in a lean-agile organization for solutions architects and enterpri...,372 pages
Practical System Programming for Rust Developers,Prabhu Eshwarla,$27.99 ,Dec-20,"Explore various Rust features, data structures, libraries, and toolchain to build modern systems sof...",388 pages
Learn SQL Database Programming,Josephine Bush,$27.99 ,May-20,Learn everything you need to know to build efficient SQL queries using this easy-to-follow beginner’...,564 pages
Pandas 1.x Cookbook - Second Edition,Matt Harrison,$27.99 ,Feb-20,Use the power of Pandas to solve most complex scientific computing problems with ease. Revised for P...,626 pages
Learning Geospatial Analysis with Python - Third Edition,Joel Lawhead,$34.99 ,Sep-19,Learn the core concepts of geospatial data analysis for building actionable and insightful GIS appli...,456 pages
Modern Python Cookbook - Second Edition,Steven F. Lott,$34.99 ,Jul-20,Complete recipes spread across 15 chapters to help you overcome commonly faced issues by Python for ...,822 pages
Hands-On Microsoft Lists,João Ferreira,$24.99 ,Jul-21,Prepare to be a Microsoft Lists advocate and transform the way data is harnessed in your organizatio...,356 pages
Java Coding Problems,Anghel Leonard,$34.99 ,Sep-19,"Develop your coding skills by exploring Java concepts and techniques such as Strings, Objects and Ty...",816 pages
Simplify Testing with React Testing Library,Scottie Crump,$24.99 ,May-21,"A fast-paced, practical guide to helping you leverage React Testing Library to test the DOM output o...",246 pages
Applying Math with Python,Sam Morley,$24.99 ,Jul-20,Discover easy-to-follow solutions and techniques to help you to implement applied mathematical conce...,358 pages
C++ Game Development By Example,Siddharth Shekar,$24.99 ,May-19,Explore modern game programming and rendering techniques to build games using C++ programming langua...,420 pages
Mastering Swift 5.3 - Sixth Edition,Jon Hoffman,$24.99 ,Nov-20,A comprehensive guide for programming enthusiasts who wish to gain a firm command of the fundamental...,418 pages
Hands-On RESTful Web Services with Go - Second Edition,Naren Yellavula,$27.99 ,Feb-20,"Design production-ready, testable, and maintainable RESTful web services for the modern web that sca...",404 pages
Mastering Python Networking - Third Edition,Eric Chou,$34.99 ,Jan-20,"New edition of the bestselling guide to mastering Python Networking, updated to Python 3 and includi...",576 pages
Android System Programming,Roger Ye,$35.99 ,May-17,"Build, customize, and debug your own Android system",470 pages
Microsoft Power Platform Enterprise Architecture,Robert Rybaric,$34.99 ,Sep-20,"Gain a 360-degree view of Microsoft Power Platform and combine the benefits of Power Apps, Power BI,...",452 pages
Mastering KVM Virtualization - Second Edition,Vedran Dakic,$34.99 ,Oct-20,Build KVM-based virtualization environments capable of scaling to the private and public cloud.,686 pages
Hands-On Red Team Tactics,Himanshu Sharma,$27.99 ,Sep-18,Your one-stop guide to learning and implementing Red Team tactics effectively,480 pages
Salesforce Data Architecture and Management,Ahsan Zafar,$34.99 ,Jul-21,Learn everything you need to become a successful data architect on the Salesforce platform,376 pages
Beginning C++ Programming,Richard Grimes,$39.99 ,Apr-17,Modern C++ at your fingertips!,526 pages
Building Cross-Platform GUI Applications with Fyne,Andrew Williams,$27.99 ,Jan-21,Understand how to use the Fyne toolkit to build exciting apps for a range of devices and deploy them...,318 pages
Building Distributed Applications in Gin,Mohamed Labouardy,$31.99 ,Jul-21,An effective guide to learning how to build a large-scale distributed application using the wide ran...,482 pages
Docker Certified Associate (DCA): Exam Guide,Francisco Javier Ramírez Urea,$27.99 ,Sep-20,"Pass the DCA exam and enhance your DevOps skills by achieving faster deployments, reduced downtime, ...",612 pages
"Repeatability, Reliability, and Scalability through GitOps",Bryan Feuling,$27.99 ,May-21,Learn how to best use GitOps to automate manual tasks in the continuous delivery and deployment proc...,292 pages
Python Network Programming,Abhishek Ratan,$34.99 ,Jan-19,Power up your network applications with Python programming,776 pages
Learning Spring Boot 2.0 - Second Edition,Greg L. Turnquist,$31.99 ,Nov-17,Use Spring Boot to build lightning-fast apps,370 pages
PySpark Cookbook,Denny Lee,$31.99 ,Jun-18,Combine the power of Apache Spark and Python to build effective big data applications,330 pages
Implementing and Administering Cisco Solutions: 200-301 CCNA Exam Guide,Glen D. Singh,$24.99 ,Nov-20,Prepare to take the Cisco Certified Network Associate (200-301 CCNA) exam and get to grips with the ...,764 pages
Learn Java 12 Programming,Nick Samoylov,$24.99 ,Apr-19,A comprehensive guide to get started with Java and gain insights into major concepts such as object-...,690 pages
"LLVM Techniques, Tips, and Best Practices Clang and Middle-End Libraries",Min-Yih Hsu,$31.99 ,Apr-21,"Learn how you can build the next big programming language, compiler, or source code analyzer using L...",370 pages
Hands-On Microservices with Rust,Denis Kolodin,$31.99 ,Jan-19,A comprehensive guide in developing and deploying high performance microservices with Rust,520 pages
The SQL Workshop,Frank Solomon,$20.99 ,Dec-19,Cut through the noise and get real results with a step-by-step approach to learning SQL,288 pages
Architecting Cloud Computing Solutions,Kevin L. Jackson,$31.99 ,May-18,Accelerating Business and Mission Success with Cloud Computing.,378 pages
Automate It with Zapier,Kelly Goss,$24.99 ,Aug-21,"Build easy and accessible solutions for automating mundane processes in marketing, sales, operations...",618 pages
Elasticsearch 7.0 Cookbook - Fourth Edition,Alberto Paro,$34.99 ,Apr-19,"Search, analyze, and manage data effectively with Elasticsearch 7",724 pages
Learn Algorithmic Trading - Fundamentals of Algorithmic Trading,Sebastien Donadio,$31.99 ,Nov-19,"Build, deploy and improve highly profitable real-world automated end to end algorithmic trading syst...",394 pages
Hands-On Web Scraping with Python,Anish Chapagain,$27.99 ,Jul-19,"Collect and scrape different complexities of data from the modern Web using the latest tools, best p...",350 pages
WordPress 5 Complete - Seventh Edition,Karol Król,$27.99 ,Feb-19,"An in-depth and comprehensive take on WordPress, covering everything about the platform such as Word...",432 pages
Hands-On System Programming with C++,Dr. Rian Quinn,$34.99 ,Dec-18,System programming made easy using C++17.,552 pages
Hands-On Data Structures and Algorithms with Python - Second Edition,Dr. Basant Agarwal,$27.99 ,Oct-18,Learn to implement complex data structures and algorithms using Python,398 pages
Hands-On Design Patterns with Java,Dr. Edward Lavieri,$27.99 ,Apr-19,"Understand Gang of Four, architectural, functional, and reactive design patterns and how to implemen...",360 pages
Crafting Test-Driven Software with Python,Alessandro Molina,$31.99 ,Feb-21,Get to grips with essential concepts and step-by-step explanations to apply TDD practices to your Py...,338 pages
Clean Code in C#,Jason Alls,$31.99 ,Jul-20,"Develop your programming skills by exploring essential topics such as code reviews, implementing TDD...",500 pages
Django 3 Web Development Cookbook - Fourth Edition,Aidas Bendoraitis,$24.99 ,Mar-20,"Practical recipes for building fast, robust, and secure web apps using Django 3 and Python",608 pages
Blockchain with Hyperledger Fabric - Second Edition,Nitin Gaur,$34.99 ,Nov-20,Learn to develop blockchain-based distributed ledgers and deploy a Hyperledger Fabric network with c...,756 pages
Delphi GUI Programming with FireMonkey,Andrea Magni,$34.99 ,Oct-20,Master the techniques to build interesting cross platform GUI applications with FMX,546 pages
Architectural Patterns,Pethuru Raj,$39.99 ,Dec-17,Learn the importance of architectural and design patterns in producing and sustaining next-generatio...,468 pages
OpenCV 4 Computer Vision Application Programming Cookbook - Fourth Edition,David Millán Escrivá,$27.99 ,May-19,"Discover interesting recipes to help you understand the concepts of object detection, image processi...",494 pages
Nginx HTTP Server - Fourth Edition,Martin Fjordvald,$35.99 ,Feb-18,Make the most of your infrastructure and serve pages faster than ever with Nginx,348 pages
Cloud Scale Analytics with Azure Data Services,Patrik Borosch,$38.99 ,Jul-21,A practical guide to implementing a scalable and fast state-of-the-art analytical data estate,520 pages
Hands-On Industrial Internet of Things,Giacomo Veneri,$31.99 ,Nov-18,Build a strong and efficient IoT infrastructure at industrial and enterprise level by mastering Indu...,556 pages
RabbitMQ Essentials - Second Edition,Lovisa Johansson,$20.99 ,Aug-20,Learn basic to advanced RabbitMQ techniques with the help of a realistic case study shared by the ex...,154 pages
Extending Microsoft Power Apps with Power Apps Component Framework,Danish Naglekar,$27.99 ,Feb-21,Learn how to extend the capabilities of Power Apps by building code components using Power Apps Comp...,318 pages
The PHP Workshop,Alexandru Busuioc,$20.99 ,Oct-19,Cut through the noise and get real results with a step-by-step approach to learning PHP programming ,604 pages
Learning Google Apps Script,Ramalingam Ganapathy,$31.99 ,Mar-16,Customize and automate Google Applications using Apps Script,232 pages
Learning Malware Analysis,Monnappa K A,$39.99 ,Jun-18,Understand malware analysis and its practical implementation,510 pages
Learn D3.js,Helder da Rocha,$24.99 ,May-19,Explore the power of D3.js 5 and its integration with web technologies for building rich and interac...,650 pages
Securing Remote Access in Palo Alto Networks,Tom Piens,$31.99 ,Jul-21,"Explore everything you need to know to set up secure remote access, harden your firewall deployment,...",336 pages
Java EE 8 Development with Eclipse - Third Edition,Ram Kulkarni,$39.99 ,Jun-18,"Develop and deploy fully functional applications and microservices utilising Tomcat, Glassfish serve...",596 pages
Hands-On Internet of Things with MQTT,Tim Pulver,$27.99 ,Oct-19,Start your IoT Prototyping with Arduino,350 pages
Generative AI with Python and TensorFlow 2,Joseph Babcock,$27.99 ,Apr-21,Fun and exciting projects to learn what artificial minds can create,488 pages
Jira 8 Essentials - Fifth Edition,Patrick Li,$38.99 ,Feb-19,Explore the new and improved Jira 8 features such as agile board and advanced search for efficient p...,420 pages
Mastering Delphi Programming: A Complete Reference Guide,Primož Gabrijelcic,$31.99 ,Nov-19,"Use structural, behavioral, and concurrent patterns in Delphi to skillfully develop applications",674 pages
Learn Kubernetes Security,Kaizhe Huang,$24.99 ,Jul-20,Secure your container environment against cyberattacks and deliver robust deployments with this prac...,330 pages
Practical C Programming,B. M. Harwani,$24.99 ,Feb-20,"A comprehensive guide with practical instructions for learning data structures, low-level programmin...",616 pages
Hands-On Reactive Programming in Spring 5,Oleh Dokuka,$35.99 ,Oct-18,Explore the reactive system and create efficient microservices with Spring Boot 2.1 and Spring Cloud,556 pages
Bayesian Analysis with Python - Second Edition,Osvaldo Martin,$31.99 ,Dec-18,Bayesian modeling with PyMC3 and exploratory analysis of Bayesian models with ArviZ,356 pages
Hands-On Design Patterns with C++,Fedor G. Pikus,$34.99 ,Jan-19,"A comprehensive guide with extensive coverage on concepts such as OOP, functional programming, gener...",512 pages
Binary Analysis Cookbook,Michael Born,$27.99 ,Sep-19,"Explore open-source Linux tools and advanced binary analysis techniques to analyze malware, identify...",396 pages
Python Image Processing Cookbook,Sandipan Dey,$31.99 ,Apr-20,"Explore Keras, scikit-image, open source computer vision (OpenCV), Matplotlib, and a wide range of o...",438 pages
Learn Amazon SageMaker,Julien Simon,$31.99 ,Aug-20,"Quickly build and deploy machine learning models without managing infrastructure, and improve produc...",490 pages
Deep Reinforcement Learning with Python - Second Edition,Sudharsan Ravichandiran,$27.99 ,Sep-20,An example-rich guide for beginners to start their reinforcement and deep reinforcement learning jou...,760 pages
Machine Learning with R - Third Edition,Brett Lantz,$27.99 ,Apr-19,Solve real-world data problems with R and machine learning,458 pages
Cybersecurity – Attack and Defense Strategies - Second Edition,Yuri Diogenes,$27.99 ,Dec-19,Updated and revised edition of the bestselling guide to developing defense strategies against the la...,634 pages
Azure Strategy and Implementation Guide - Fourth Edition,Jack Lee,$34.99 ,May-21,Leverage Azure's cloud capabilities to find the most optimized path to meeting your firm’s cloud inf...,228 pages
Implementing Microsoft Dynamics 365 Customer Engagement,Mahender Pal,$27.99 ,Mar-20,"Gain hands-on experience working with the architecture, implementation, deployment, and data migrati...",426 pages
SQL Server 2019 Administrator's Guide - Second Edition,Marek Chmel,$31.99 ,Sep-20,"Use Microsoft SQL Server 2019 to implement, administer, and secure a robust database solution that i...",522 pages
Learn Ethereum,Xun (Brian) Wu,$24.99 ,Sep-19,Explore the blockchain-based decentralized platform and understand how Ethereum works with Dapps exa...,540 pages
Microsoft Dynamics 365 Business Central Cookbook,Michael Glue,$31.99 ,Aug-19,"Gain useful insights to help you efficiently build, test, and migrate customized solutions on Busine...",380 pages
Infosec Strategies and Best Practices,Joseph MacMillan,$27.99 ,May-21,Advance your career as an information security professional by turning theory into robust solutions ...,272 pages
Mastering Vim,Ruslan Osipov,$35.99 ,Nov-18,"Mastering Vim, reviewed by Bram Moolenaar, the creator of Vim, covers usage of Vim and Neovim, showc...",330 pages
Git Version Control Cookbook - Second Edition,Kenneth Geisshirt,$35.99 ,Jul-18,A series of practical recipes to simplify the Git learning experience and increase your productivity...,354 pages
Managing Data Science,Kirill Dubovikov,$20.99 ,Nov-19,Understand the concepts and methodologies to manage and deliver top-notch Data Science solutions for...,290 pages
Internet of Things for Architects,Perry Lea,$35.99 ,Jan-18,"Learn to Design, Implement and secure your IoT infrastructure",524 pages
Hands-on JavaScript for Python Developers,Sonyl Nagale,$27.99 ,Sep-20,A Python developer’s guide to unpacking what JavaScript is and isn’t because the frontend can barely...,410 pages
Dynamics 365 for Finance and Operations Development Cookbook - Fourth Edition,Deepak Agarwal,$47.99 ,Aug-17,Over 80 effective recipes to help you solve real-world Microsoft Dynamics 365 for Finance and Operat...,480 pages
Advanced MySQL 8,Eric Vanier,$27.99 ,Jan-19,"Design cost-efficient database solutions, scale enterprise operations and reduce overhead business c...",286 pages
Hands-On Software Engineering with Golang,Achilleas Anagnostopoulos,$34.99 ,Jan-20,"Explore software engineering methodologies, techniques, and best practices in Go programming to buil...",640 pages
Mastering Geospatial Analysis with Python,Paul Crickard,$39.99 ,Apr-18,Explore GIS processing and learn to work with various tools and libraries in Python.,440 pages
Learn PowerShell Core 6.0,David das Neves,$35.99 ,Jul-18,"Enhance your skills in expert module development, deployment, security, DevOps, and cloud",552 pages
Building Vue.js Applications with GraphQL,Heitor Ramon Ribeiro,$24.99 ,Jan-21,Take your Vue.js knowledge to the next level by understanding full-stack development concepts and ex...,298 pages
Cloud Native with Kubernetes,Alexander Raul,$27.99 ,Jan-21,Harness Kubernetes’ extensibility to deploy modern patterns and learn to effectively handle producti...,446 pages
Mastering Windows Group Policy,Jordan Krause,$31.99 ,Nov-18,"Improve and reimagine your organization's security stance, desktop standards, and server administrat...",408 pages
Advanced Natural Language Processing with TensorFlow 2,Ashish Bansal,$27.99 ,Feb-21,"One-stop solution for NLP practitioners, ML developers, and data scientists to build effective NLP s...",380 pages
AWS Certified Developer - Associate Guide - Second Edition,Vipul Tankariya,$34.99 ,Jun-19,"Learn from the AWS subject-matter experts, explore real-world scenarios, and pass the AWS Certified ...",812 pages
Mastering Blockchain Programming with Solidity,Jitendra Chittoda,$27.99 ,Aug-19,Discover the advanced features of Solidity that will help you write high-quality code and develop se...,486 pages
Rust Programming Cookbook,Claus Matzinger,$27.99 ,Oct-19,Practical solutions to overcome challenges in creating console and web applications and working with...,444 pages
Hands-On Microservices with Kubernetes,Gigi Sayfan,$27.99 ,Jul-19,Build scalable infrastructure for your cloud-based applications,502 pages
Practical Node-RED Programming,Taiji Hagino,$27.99 ,Mar-21,Use a low-code programming approach to create event-driven applications from scratch by wiring toget...,326 pages
Unreal Engine 4 Shaders and Effects Cookbook,Brais Brenlla Ramos,$27.99 ,May-19,"Build optimized, efficient, and real-time applications that are production-ready using Unreal Engine...",524 pages
Creative DIY Microcontroller Projects with TinyGo and WebAssembly,Tobias Theel,$24.99 ,May-21,"Explore embedded programming, and get hands-on with real-world embedded projects relating to IoT, lo...",322 pages
Hands-On Design Patterns with C# and .NET Core,Gaurav Aroraa,$27.99 ,Jul-19,Build effective applications in C# and .NET Core by using proven programming practices and design te...,410 pages
Hands-On Machine Learning with ML.NET,Jarred Capellman,$31.99 ,Mar-20,"Create, train, and evaluate various machine learning models such as regression, classification, and ...",296 pages
Learning PySpark,Tomasz Drabas,$35.99 ,Feb-17,Build data-intensive applications locally and deploy at scale using the combined powers of Python an...,274 pages
Cybersecurity Attacks – Red Team Strategies,Johann Rehberger,$27.99 ,Mar-20,"Develop your red team skills by learning essential foundational tactics, techniques, and procedures,...",524 pages
